Dataset,Method,Best Score,Best Parameter,Best Estimator
Spam_email_Dataset.csv,MultinomialNB,0.9764269221793868,{'alpha': 0.1},MultinomialNB(alpha=0.1)
Spam_email_Dataset.csv,MultinomialNB,0.9764078559674625,{'alpha': 0.1},MultinomialNB(alpha=0.1)
Spam_email_Dataset.csv,MultinomialNB,0.9708738074869485,{'alpha': 0.1},MultinomialNB(alpha=0.1)
Spam_email_Dataset.csv,MultinomialNB,0.972307169554876,{'alpha': 0.1},MultinomialNB(alpha=0.1)
Spam_email_Dataset.csv,MultinomialNB,0.9708970762031539,{'alpha': 0.1},MultinomialNB(alpha=0.1)
Spam_email_Dataset.csv,SVC,0.9821144902103685,"{'C': 1, 'gamma': 'scale', 'kernel': 'linear', 'random_state': 42}","SVC(C=1, kernel='linear', random_state=42)"
Spam_email_Dataset.csv,SVC,0.9816168856044669,"{'C': 10, 'gamma': 'scale', 'kernel': 'linear', 'random_state': 42}","SVC(C=10, kernel='linear', random_state=42)"
Spam_email_Dataset.csv,SVC,0.9838730574287826,"{'C': 10, 'gamma': 'scale', 'kernel': 'linear', 'random_state': 42}","SVC(C=10, kernel='linear', random_state=42)"
Spam_email_Dataset.csv,SVC,0.9825662808346621,"{'C': 1, 'gamma': 'scale', 'kernel': 'linear', 'random_state': 42}","SVC(C=1, kernel='linear', random_state=42)"
Spam_email_Dataset.csv,SVC,0.9835233601636482,"{'C': 1, 'gamma': 'scale', 'kernel': 'linear', 'random_state': 42}","SVC(C=1, kernel='linear', random_state=42)"
Spam_email_Dataset.csv,RandomForestClassifier,0.9512586652123047,"{'max_depth': None, 'n_estimators': 100, 'random_state': 42}",RandomForestClassifier(random_state=42)
Spam_email_Dataset.csv,RandomForestClassifier,0.944402825894054,"{'max_depth': None, 'n_estimators': 150, 'random_state': 42}","RandomForestClassifier(n_estimators=150, random_state=42)"
Spam_email_Dataset.csv,RandomForestClassifier,0.944877074795375,"{'max_depth': None, 'n_estimators': 150, 'random_state': 42}","RandomForestClassifier(n_estimators=150, random_state=42)"
Spam_email_Dataset.csv,RandomForestClassifier,0.9416064291129651,"{'max_depth': None, 'n_estimators': 150, 'random_state': 42}","RandomForestClassifier(n_estimators=150, random_state=42)"
Spam_email_Dataset.csv,RandomForestClassifier,0.9478355669462569,"{'max_depth': None, 'n_estimators': 150, 'random_state': 42}","RandomForestClassifier(n_estimators=150, random_state=42)"
