Dataset,Method,Balanced Accuracy,Precision,Recall,F1 Score
SpamEmail,MultinomialNB,0.9367546081533772,0.9783034083434923,0.8765351230425055,0.9244087877814854
SpamEmail,SVC,0.9476594065985867,0.9548491725920859,0.9019716629381059,0.927413512816915
SpamEmail,RandomForest,0.906120289939068,0.9951535641978945,0.8128623415361671,0.8945318240619109
SpamEmail,KNeighbors,0.8018186281214621,0.9931615630358323,0.6042866517524236,0.7507908608506555
SpamEmail,Decision Tree,0.9074679409457794,0.894684023508445,0.8302243102162563,0.8607225152488228
SpamEmail,Artificial Neural Networks,0.9473215835371485,0.9705909085516531,0.8988918717375094,0.9331659048547022
