Dataset,Method,Balanced Accuracy,Precision,Recall,F1 Score
SMS_Spam,MultinomialNB,0.9369663287709329,0.9722073949436668,0.8778604026845638,0.9223986604753599
SMS_Spam,SVC,0.948079060872036,0.9571150171819265,0.902489485458613,0.9287827016542851
SMS_Spam,RandomForest,0.9056830029195455,0.995048441831046,0.8119964205816554,0.8939085720264585
SMS_Spam,KNeighbors,0.7418087994034301,1.0,0.48361759880686056,0.6508462552556297
SMS_Spam,Decision Tree,0.9067115464602638,0.891582905618084,0.8292310216256525,0.858711998920897
SMS_Spam,Artificial Neural Networks,0.9468011115105762,0.9683213603031369,0.8982087994034303,0.9317209525302903
