Dataset,Method,Balanced Accuracy,Precision,Recall,F1 Score
Spam_email_Dataset,MultinomialNB,0.9708157521585833,0.9971727567424573,0.9424724829104392,0.9690086892372266
Spam_email_Dataset,SVC,0.9883196040196476,0.9875627140787256,0.9805306453481635,0.9840057096829576
Spam_email_Dataset,RandomForest,0.9566069135054771,0.9945343319791671,0.9147963958182934,0.9529168040354842
Spam_email_Dataset,KNeighbors,0.9680758914032537,0.9790647641789268,0.9424973485557426,0.9603667289291736
Spam_email_Dataset,Decision Tree,0.936840862323016,0.9060996925516158,0.9031924280099463,0.90440028148025
Spam_email_Dataset,Artificial Neural Networks,0.9869641103277179,0.9919876425789182,0.9764129301355577,0.984113023412735
